name,"Criterion 1","Criterion 2","Criterion 3","Criterion 4",category
"Alternative 32",0.828737497,0.586751163,0.35675332,0.96525532,"Best category"
"Alternative 33",0.280934513,0.607034266,0.542696059,0.275999188,"Worst category"
"Alternative 34",0.14092423,0.2962735,0.80219698,0.165266946,"Worst category"
"Alternative 35",0.0745506436,0.015636405,0.986886919,0.423401475,"Best category"
"Alternative 36",0.772244751,0.394881517,0.198715687,0.293488175,"Worst category"
"Alternative 37",0.00552212261,0.0140798241,0.815461457,0.198842406,"Worst category"
"Alternative 38",0.706857324,0.711341977,0.729007185,0.790175557,"Best category"
"Alternative 39",0.771270335,0.605959952,0.0740446448,0.926300883,"Best category"
"Alternative 40",0.358465731,0.651077032,0.115869053,0.914959669,"Best category"
"Alternative 41",0.863103449,0.850038588,0.623298109,0.449450672,"Best category"
"Alternative 42",0.330898017,0.095410116,0.0635583475,0.370818257,"Best category"
"Alternative 43",0.310982317,0.668841243,0.325183332,0.665922344,"Best category"
"Alternative 44",0.729606152,0.591297805,0.637557447,0.274721801,"Worst category"
"Alternative 45",0.887212753,0.561243415,0.472214937,0.382926881,"Best category"
"Alternative 46",0.119594239,0.971712112,0.713244796,0.848913848,"Best category"
"Alternative 47",0.760785043,0.721729517,0.561277211,0.235984921,"Best category"
"Alternative 48",0.770967185,0.256068319,0.493795604,0.0404335931,"Worst category"
"Alternative 49",0.522732854,0.710662901,0.427541018,0.110890828,"Best category"
"Alternative 50",0.0254191253,0.439336509,0.107891425,0.20171921,"Worst category"
"Alternative 51",0.0314291865,0.895763576,0.636410415,0.475370228,"Best category"
"Alternative 52",0.314355969,0.563275576,0.508570671,0.695516109,"Best category"
"Alternative 53",0.907566488,0.13933146,0.249292225,0.604417384,"Best category"
"Alternative 54",0.410382926,0.539841115,0.755551159,0.203061223,"Worst category"
"Alternative 55",0.228798166,0.94285357,0.0769799128,0.598865449,"Best category"
"Alternative 56",0.28975144,0.694784939,0.161221281,0.880467832,"Best category"
"Alternative 57",0.929697633,0.624354064,0.80812037,0.295633674,"Worst category"
"Alternative 58",0.633403778,0.105494261,0.871460617,0.456534564,"Best category"
"Alternative 59",0.803672075,0.218440443,0.186570063,0.416509956,"Best category"
"Alternative 60",0.892558992,0.883280277,0.539342225,0.324345022,"Best category"
"Alternative 61",0.807440162,0.122087955,0.896091282,0.356297851,"Best category"
"Alternative 62",0.318003476,0.906828463,0.110051923,0.272132248,"Best category"
"Alternative 63",0.227935165,0.647690117,0.427107781,0.000520376489,"Worst category"
"Alternative 64",0.818014741,0.352568865,0.860730588,0.304781258,"Worst category"
"Alternative 65",0.0069521307,0.164655849,0.510747313,0.534089446,"Best category"
"Alternative 66",0.417411,0.484829962,0.222107813,0.692436039,"Best category"
"Alternative 67",0.119865373,0.269412339,0.337615162,0.244125515,"Worst category"
"Alternative 68",0.942909718,0.168291047,0.323202938,0.218764216,"Worst category"
"Alternative 69",0.518790603,0.558102012,0.703018963,0.403836161,"Best category"
"Alternative 70",0.363629609,0.0648922473,0.971782088,0.253915399,"Worst category"
"Alternative 71",0.962447286,0.246876061,0.251782298,0.696304262,"Best category"
"Alternative 72",0.497248501,0.712270617,0.300878316,0.148086935,"Best category"
"Alternative 73",0.284840494,0.997740507,0.0368869491,0.266781002,"Worst category"
"Alternative 74",0.609564304,0.976614952,0.50267905,0.411037028,"Best category"
"Alternative 75",0.0514787547,0.0330507345,0.278646469,0.345071256,"Best category"
"Alternative 76",0.908265889,0.634351373,0.239561886,0.680705428,"Best category"
"Alternative 77",0.144894868,0.530934572,0.489452749,0.447783172,"Best category"
"Alternative 78",0.98565048,0.552893102,0.242055267,0.592696726,"Best category"
"Alternative 79",0.672135532,0.0808533281,0.761619627,0.369654447,"Best category"
"Alternative 80",0.23763755,0.242159933,0.72821635,0.803139746,"Best category"
"Alternative 81",0.367783129,0.470300645,0.632305801,0.983423114,"Best category"
"Alternative 82",0.633529723,0.398824453,0.535774708,0.81643188,"Best category"
"Alternative 83",0.0902897641,0.798345149,0.835302472,0.150717542,"Best category"
"Alternative 84",0.320780069,0.508198798,0.186518505,0.695812821,"Best category"
"Alternative 85",0.0407751426,0.8583588,0.590892971,0.325958908,"Best category"
"Alternative 86",0.677564383,0.220241055,0.0165878274,0.711149514,"Worst category"
"Alternative 87",0.512093067,0.809501052,0.226495773,0.348665982,"Best category"
"Alternative 88",0.645172775,0.0961765498,0.174366429,0.940523267,"Best category"
"Alternative 89",0.690937757,0.397572011,0.38673535,0.517751336,"Best category"
"Alternative 90",0.936729968,0.837710083,0.137520939,0.675690114,"Best category"
"Alternative 91",0.34106636,0.735216141,0.113473527,0.209071621,"Best category"
"Alternative 92",0.924693644,0.541447997,0.877339363,0.69578439,"Best category"
"Alternative 93",0.257941633,0.228550017,0.659984052,0.174954921,"Worst category"
"Alternative 94",0.817222178,0.982168317,0.555200815,0.516635895,"Best category"
"Alternative 95",0.529650569,0.26082918,0.241852283,0.996253729,"Best category"
"Alternative 96",0.0931027606,0.965419352,0.897215784,0.558293462,"Best category"
"Alternative 97",0.900418043,0.882636368,0.633101463,0.188707113,"Best category"
"Alternative 98",0.339029789,0.278871357,0.349209577,0.700357854,"Best category"
"Alternative 99",0.725955665,0.84666115,0.897110283,0.856324315,"Best category"
"Alternative 100",0.887086451,0.404508114,0.779875517,0.887770116,"Best category"
